prod-descr;prod-;prod-comentario;prod-aval;analise_sentimento;sentimento;acuracidade
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;esfarela deixa pele oleosa;2.0;{'label': '1 star', 'score': 0.5528872609138489};negativo;0.5528872609138489
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;pior protetor solar usei, extremamente oleoso esfarela!;2.0;{'label': '1 star', 'score': 0.45172104239463806};negativo;0.45172104239463806
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;produto descrito pele oleosa, pele aumentou oleosidade, conseguindo usar tão oleoso, pele fica brilhando logo passa.;2.0;{'label': '2 stars', 'score': 0.36785387992858887};negativo;0.36785387992858887
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;pele extremamente oleosa semana uso fiquei espinhas então acho maravilhoso, testei muitas marcas todas davam acne. peles recomendo compra.;2.0;{'label': '5 stars', 'score': 0.6552525758743286};positivo;0.6552525758743286
 NIVEA  Nivea Sun Tripla Proteção Controle de Oleosidade FPS 65 - Protetor Solar Facial 40ml ; NIVEA ;deixa aspecto oleoso produto esfarela seca.;2.0;{'label': '1 star', 'score': 0.5114826560020447};negativo;0.5114826560020447
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;"protetor excelente! protetor físico deixa cara esbranquiçada oleosa! fixação impressionante e, apesar cor pó tem, homogeneíza tom pele. além disso, reaplicações longo dia formam ""máscara"" outros protetores pó formam nunca causam efeito oompa-loompa. isdin apenas podia melhorar embalagem, ruim: tampa escapa, protetor pincel segura desce durante aplicação e, final, fica produto custa sair. pessoas reclamam sobre desperdício dizem produto rende. mentira. problema sabem usar, porque produto rende algo 40 dias, usando miséria, todos dias 2 retoques: quantidade pó vem embalagem, eternidade. único problema preço, matar.";2.6;{'label': '1 star', 'score': 0.7018008232116699};negativo;0.7018008232116699
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;embalagem horrível! pensei espécie botão soltar pó pincel. nada! pó saiu 1o dia. consegui tirar pó dali dentro. produto barato pra ter problema tão sério embalagem. isdin rever rapidamente. pessoa reclamando. praticamente todo mundo reclamando!;2.6;{'label': '1 star', 'score': 0.8969385623931885};negativo;0.8969385623931885
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;gostei produto, pois utilizo reaplicar protetor durante dia. deixo bolsa reaplico cada 2 hs. além proteger pele retira aspecto oleoso dela. vivo sem.;2.6;{'label': '5 stars', 'score': 0.3806370794773102};positivo;0.3806370794773102
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;esperava desse produto , fácil aplicação , produto sai dificuldade pincel aplicador . compraria novo .;2.6;{'label': '2 stars', 'score': 0.43092378973960876};negativo;0.43092378973960876
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;gente comprem, joguei dinheiro fora. vale pra nada. fixa, embalagem ruim … horrível;2.6;{'label': '1 star', 'score': 0.8765573501586914};negativo;0.8765573501586914
 La Roche-Posay  Anthelios UVMune400 Airlicium FPS60 - Protetor Solar Facial 50ml ; La Roche-Posay ;filtro solar maravilhoso. pele oleosa único dá espinhas.;2.7;{'label': '5 stars', 'score': 0.8678992986679077};positivo;0.8678992986679077
 La Roche-Posay  Anthelios UVMune400 Airlicium FPS60 - Protetor Solar Facial 50ml ; La Roche-Posay ;pele clara seca deixou pele amarelada oleosa, protetor efeito matte, bem líquido esfarela pele.;2.7;{'label': '2 stars', 'score': 0.43753302097320557};negativo;0.43753302097320557
 La Roche-Posay  Anthelios UVMune400 Airlicium FPS60 - Protetor Solar Facial 50ml ; La Roche-Posay ;nada anti oleosidade, virei puro cebo todas vezes q tentei usar. recomendo peles mistas/oleosas!!!!;2.7;{'label': '1 star', 'score': 0.7287463545799255};negativo;0.7287463545799255
 La Roche-Posay  Anthelios UVMune400 Airlicium FPS60 - Protetor Solar Facial 50ml ; La Roche-Posay ;oleoso, pele mista/oleosa, vale pena.;2.7;{'label': '2 stars', 'score': 0.4176778197288513};negativo;0.4176778197288513
 La Roche-Posay  Anthelios UVMune400 Airlicium FPS60 - Protetor Solar Facial 50ml ; La Roche-Posay ;produto bom chegou perfeito estado;2.7;{'label': '5 stars', 'score': 0.5080974698066711};positivo;0.5080974698066711
Protetor Solar Facial FPS30 Base Morena Nupill 30g, Nupill, Marom Claro;Condor Brasil;ana qualidade inferior preço alto produto péssimo!;2.9;{'label': '1 star', 'score': 0.7746005058288574};negativo;0.7746005058288574
 Dermage  Photoage Water Color FPS 60 - Protetor Solar Facial 40g ; Dermage ;ganhei amostra opinião vale pena porque cor nenhuma!!!! cor sai embalagem, desaparece pele. sequinho? sim. cor acho inútil comprar produto. comprado inteiro experimentar antes ia ficar brava dinheiro jogado fora.;3.0;{'label': '1 star', 'score': 0.9128352403640747};negativo;0.9128352403640747
 Dermage  Photoage Water Color FPS 60 - Protetor Solar Facial 40g ; Dermage ;gostei, deixa pele sequinha. porém dei 3 estrelas pq color mudou nada pele. ficou mesma coisa incolor.;3.0;{'label': '3 stars', 'score': 0.9825547337532043};neutro;0.9825547337532043
 Dermage  Photoage Water Color FPS 60 - Protetor Solar Facial 40g ; Dermage ;acrescenta cobertura nenhuma, deixa rosto amarelo tipo donald trump;3.0;{'label': '1 star', 'score': 0.6658498048782349};negativo;0.6658498048782349
 Cicatricure  Antissinais - Protetor Solar FPS 50 40g ; Cicatricure ;fácil aplicar, fica oleoso, efeito mate tão aparente.;3.0;{'label': '4 stars', 'score': 0.4163919985294342};positivo;0.4163919985294342
 Cicatricure  Antissinais - Protetor Solar FPS 50 40g ; Cicatricure ;esfarela aplicar :( sempre uso pó solto cima;3.0;{'label': '3 stars', 'score': 0.2643442153930664};neutro;0.2643442153930664
 Vichy  Capital Soleil FPS60 Cor 3.0 - Protetor Solar com Cor 40g ; Vichy ;excelente cobertura!;3.0;{'label': '5 stars', 'score': 0.7379319071769714};positivo;0.7379319071769714
 Vichy  Capital Soleil FPS60 Cor 3.0 - Protetor Solar com Cor 40g ; Vichy ;produto transfere, esfarela produto algum pele, recomendo.;3.0;{'label': '3 stars', 'score': 0.26346996426582336};neutro;0.26346996426582336
 Shiseido  Expert Sun Protector Face & Body Lotion FPS 50+ - Protetor Solar 150ml ; Shiseido ;melhor !!! tentei vários outros descobrir uso corpo todo hidrata precisa outro creme durante dia rosto adapta pele oleosa, minha, deixa make craquelar adoro;3.0;{'label': '5 stars', 'score': 0.6875900030136108};positivo;0.6875900030136108
 Vichy  Capital Soleil FPS60 Cor 3.0 - Protetor Solar com Cor 40g ; Vichy ;apesar gostar marca ter excelente cobertura, pele fica manchada produto transfere muito! pele oleosa aspecto derretido. recomendo. pele mista seca.;3.0;{'label': '2 stars', 'score': 0.40779823064804077};negativo;0.40779823064804077
 Shiseido  Expert Sun Protector Face & Body Lotion FPS 50+ - Protetor Solar 150ml ; Shiseido ;"indicado corpo rosto, funciona nada bem rosto, pois derrete pele, arde demais olhos, fica super oleoso agora, corpo dá certo, seca rápido, porém; dá impressão protege direito, super resistente água viu! deixa pele esbranquiçada partes dobram";3.0;{'label': '2 stars', 'score': 0.5186717510223389};negativo;0.5186717510223389
 Latika  Sun Stick FPS50 - Protetor Solar Facial 20g ; Latika ;gostei, pouco oleoso. passar pouco. super prático.;3.3;{'label': '5 stars', 'score': 0.4967009723186493};positivo;0.4967009723186493
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;diz adapta tom pele fiquei laranja;3.3;{'label': '3 stars', 'score': 0.29788345098495483};neutro;0.29788345098495483
