"prod-descr";"prod-marca";"prod-URL";"prod-preco";"prod-detalhe";"prod-comentario";"prod-aval";"data_ref";"spo-temp";"spo-umid";"spo-uv";"bra-temp";"bra-umid";"bra-uv";"pve-temp";"pve-umid";"pve-uv";"flo-temp";"flo-umid";"flo-uv";"rj-temp";"rj-umid";"rj-uv"
" Peel Line  Prod-D Anti-Oleosidade FPS 50 - Protetor Solar Facial 50g ";" Peel Line ";"https://www.belezanaweb.com.br/peel-line-prodd-antioleosidade-fps-50-protetor-solar-facial-50g/";"103,90";"Protetor solar facial. Peel Line Prod-D Anti-Oleosidade FPS 50 previne a degradação de Colágeno na pele com toque seco e não pegajoso, garantindo proteção digital contra a luz azul e invisível e ação antipoluição, antioxidante, antioleosidade e antiacne.O Protetor Solar Facial Peel Line Prod-D Anti-Oleosidade FPS 50 é formulado com ativos antioxidantes que formam um filme de proteção sobre a pele prevenindo os indesejáveis danos dos radicais livres. Protege da radiação digital e da luz azul, prevenindo danos ocasionados pelo uso excessivo de celulares, tablets, computadores e TV. Dermatologicamente testado.";;"<!doctypehtml><htmldir=""ltr""lang=""pt-br""class=""""><head><metacharset=""UTF-8""><basehref=""/";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Darrow  Actine FPS60 - Protetor Solar com Cor 40g ";" Darrow ";"https://www.belezanaweb.com.br/darrow-actine-fps60-protetor-solar-com-cor-40g/";"76,90";"Filtro solar para peles oleosas e acneicas. Darrow Actine FPS60 garante ação antioleosidade, alta proteção e uniformização da pele.O Protetor Solar com Cor Darrow Actine FPS60 possui textura leve e toque seco. O produto faz parte do segmento Actine: a linha mais prescrita pelos dermatologistas e expert em oferecer os melhores cuidados em controle de oleosidade.O Protetor Solar Actine FPS60 além da altíssima proteção, conta ainda com ação direta no combate aos radicais livres - prevenindo o envelhecimento precoce - e tecnologia Smart Color, com cor que se adapta a todos os tons de pele. O resultado é de uma pele com tom igualado, proteção garantida e sensorial oil free.Actine é a linha Nº1 em prescrição dermatológica para peles oleosas.Fórmula hipoalergênica, livre de parabenos e perfume, não comedogênica e não testada em animais.";"o cheiro é horrível não gostei, e a textura na pele fica meio grosseira, não é um protetor leve.";"4.3";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Darrow  Actine FPS60 - Protetor Solar com Cor 40g ";" Darrow ";"https://www.belezanaweb.com.br/darrow-actine-fps60-protetor-solar-com-cor-40g/";"76,90";"Filtro solar para peles oleosas e acneicas. Darrow Actine FPS60 garante ação antioleosidade, alta proteção e uniformização da pele.O Protetor Solar com Cor Darrow Actine FPS60 possui textura leve e toque seco. O produto faz parte do segmento Actine: a linha mais prescrita pelos dermatologistas e expert em oferecer os melhores cuidados em controle de oleosidade.O Protetor Solar Actine FPS60 além da altíssima proteção, conta ainda com ação direta no combate aos radicais livres - prevenindo o envelhecimento precoce - e tecnologia Smart Color, com cor que se adapta a todos os tons de pele. O resultado é de uma pele com tom igualado, proteção garantida e sensorial oil free.Actine é a linha Nº1 em prescrição dermatológica para peles oleosas.Fórmula hipoalergênica, livre de parabenos e perfume, não comedogênica e não testada em animais.";"Adoro esse filtro, ótimo custo benefício, é leve (diferente da Vichy), pouco inferior ao da Isdin, mas não se compara ao custo. Dura minha pele que é mista cerca de 5h, depois ele vai sumindo a cor";"4.3";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Darrow  Actine FPS60 - Protetor Solar com Cor 40g ";" Darrow ";"https://www.belezanaweb.com.br/darrow-actine-fps60-protetor-solar-com-cor-40g/";"76,90";"Filtro solar para peles oleosas e acneicas. Darrow Actine FPS60 garante ação antioleosidade, alta proteção e uniformização da pele.O Protetor Solar com Cor Darrow Actine FPS60 possui textura leve e toque seco. O produto faz parte do segmento Actine: a linha mais prescrita pelos dermatologistas e expert em oferecer os melhores cuidados em controle de oleosidade.O Protetor Solar Actine FPS60 além da altíssima proteção, conta ainda com ação direta no combate aos radicais livres - prevenindo o envelhecimento precoce - e tecnologia Smart Color, com cor que se adapta a todos os tons de pele. O resultado é de uma pele com tom igualado, proteção garantida e sensorial oil free.Actine é a linha Nº1 em prescrição dermatológica para peles oleosas.Fórmula hipoalergênica, livre de parabenos e perfume, não comedogênica e não testada em animais.";"PERFEITO!!!";"4.3";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Darrow  Actine FPS60 - Protetor Solar com Cor 40g ";" Darrow ";"https://www.belezanaweb.com.br/darrow-actine-fps60-protetor-solar-com-cor-40g/";"76,90";"Filtro solar para peles oleosas e acneicas. Darrow Actine FPS60 garante ação antioleosidade, alta proteção e uniformização da pele.O Protetor Solar com Cor Darrow Actine FPS60 possui textura leve e toque seco. O produto faz parte do segmento Actine: a linha mais prescrita pelos dermatologistas e expert em oferecer os melhores cuidados em controle de oleosidade.O Protetor Solar Actine FPS60 além da altíssima proteção, conta ainda com ação direta no combate aos radicais livres - prevenindo o envelhecimento precoce - e tecnologia Smart Color, com cor que se adapta a todos os tons de pele. O resultado é de uma pele com tom igualado, proteção garantida e sensorial oil free.Actine é a linha Nº1 em prescrição dermatológica para peles oleosas.Fórmula hipoalergênica, livre de parabenos e perfume, não comedogênica e não testada em animais.";"Adorei a cor ficou ótima em mim, não deixou minha pele oleosa e proteje muito";"4.3";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" Darrow  Actine FPS60 - Protetor Solar com Cor 40g ";" Darrow ";"https://www.belezanaweb.com.br/darrow-actine-fps60-protetor-solar-com-cor-40g/";"76,90";"Filtro solar para peles oleosas e acneicas. Darrow Actine FPS60 garante ação antioleosidade, alta proteção e uniformização da pele.O Protetor Solar com Cor Darrow Actine FPS60 possui textura leve e toque seco. O produto faz parte do segmento Actine: a linha mais prescrita pelos dermatologistas e expert em oferecer os melhores cuidados em controle de oleosidade.O Protetor Solar Actine FPS60 além da altíssima proteção, conta ainda com ação direta no combate aos radicais livres - prevenindo o envelhecimento precoce - e tecnologia Smart Color, com cor que se adapta a todos os tons de pele. O resultado é de uma pele com tom igualado, proteção garantida e sensorial oil free.Actine é a linha Nº1 em prescrição dermatológica para peles oleosas.Fórmula hipoalergênica, livre de parabenos e perfume, não comedogênica e não testada em animais.";"Mto bom, cobre bem as imperfeições, e não é oleoso na pele";"4.3";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" La Roche-Posay  Anthelios Airlicium FPS 70 Cor 3.0 - Protetor Solar Facial com Cor 40g ";" La Roche-Posay ";"https://www.belezanaweb.com.br/la-rocheposay-anthelios-airlicium-fps-70-cor-30-protetor-solar-facial-com-cor-40g/";"102,90";"Protetor solar facial com cor. La Roche-Posay Anthelios Airlicium FPS 70 oferece cuidado diário para a pele e ação antioleosidade.O Protetor Solar Facial com Cor La Roche-Posay Anthelios Airlicium FPS 70 possui toque seco, rápida absorção e espalhabilidade, cobertura natural e uniforme. Sua fórmula conta com a Tecnologia Airlicium, que auxilia no controle da oleosidade e Água Termal de La Roche-Posay, com propriedades naturalmente calmantes e antioxidantes.";"Amo os produtos dessa marca, os que já usei são ótimos, e juntou produto bom e valor melhor ainda, não tem como ser ruim.";"4";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" La Roche-Posay  Anthelios Airlicium FPS 70 Cor 3.0 - Protetor Solar Facial com Cor 40g ";" La Roche-Posay ";"https://www.belezanaweb.com.br/la-rocheposay-anthelios-airlicium-fps-70-cor-30-protetor-solar-facial-com-cor-40g/";"102,90";"Protetor solar facial com cor. La Roche-Posay Anthelios Airlicium FPS 70 oferece cuidado diário para a pele e ação antioleosidade.O Protetor Solar Facial com Cor La Roche-Posay Anthelios Airlicium FPS 70 possui toque seco, rápida absorção e espalhabilidade, cobertura natural e uniforme. Sua fórmula conta com a Tecnologia Airlicium, que auxilia no controle da oleosidade e Água Termal de La Roche-Posay, com propriedades naturalmente calmantes e antioxidantes.";"Preço ótimo, produto de boa cobertura";"4";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" La Roche-Posay  Anthelios Airlicium FPS 70 Cor 3.0 - Protetor Solar Facial com Cor 40g ";" La Roche-Posay ";"https://www.belezanaweb.com.br/la-rocheposay-anthelios-airlicium-fps-70-cor-30-protetor-solar-facial-com-cor-40g/";"102,90";"Protetor solar facial com cor. La Roche-Posay Anthelios Airlicium FPS 70 oferece cuidado diário para a pele e ação antioleosidade.O Protetor Solar Facial com Cor La Roche-Posay Anthelios Airlicium FPS 70 possui toque seco, rápida absorção e espalhabilidade, cobertura natural e uniforme. Sua fórmula conta com a Tecnologia Airlicium, que auxilia no controle da oleosidade e Água Termal de La Roche-Posay, com propriedades naturalmente calmantes e antioxidantes.";"Nao tem cobertura , parece que acumula nos poros da pele , nao espalha direito , me arrependi de ter comprado . Foi por indicaçao de dermatologista , mas o produto nao entrega o que promete . e se voce transpirar , pior ainda , vai parecer que passou massa de modelar no rosto";"4";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
" La Roche-Posay  Anthelios Airlicium FPS 70 Cor 3.0 - Protetor Solar Facial com Cor 40g ";" La Roche-Posay ";"https://www.belezanaweb.com.br/la-rocheposay-anthelios-airlicium-fps-70-cor-30-protetor-solar-facial-com-cor-40g/";"102,90";"Protetor solar facial com cor. La Roche-Posay Anthelios Airlicium FPS 70 oferece cuidado diário para a pele e ação antioleosidade.O Protetor Solar Facial com Cor La Roche-Posay Anthelios Airlicium FPS 70 possui toque seco, rápida absorção e espalhabilidade, cobertura natural e uniforme. Sua fórmula conta com a Tecnologia Airlicium, que auxilia no controle da oleosidade e Água Termal de La Roche-Posay, com propriedades naturalmente calmantes e antioxidantes.";"Foi super facil de pedir e a entrega foi rápida, chegando na data que precisava antes de viajar. O produto é ótimo, é o que mais uso.";"4";"05/09/2024 08:12:25";20.4;60;8;16.3;55;8;26;84;8;16.2;82;4;21.3;100;8
