"prod_descricao";"prod_marca";"prod_URL";"prod_price";"prod_detalhe";"prod_comentario";"prod_avaliacao";"prod_dataref";"spo-temp";"spo-umid";"spo-uv";"bra-temp";"bra-umid";"bra-uv";"pve-temp";"pve-umid";"pve-uv";"flo-temp";"flo-umid";"flo-uv";"rj-temp";"rj-umid";"rj-uv"
"Protetor Solar Facial ISDIN Fusion Water 5 Stars Color FPS50 - Escura";"Marca Isdin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=45954&ind=0&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-com-cor-isdin-fotoprotector-fusion-water-5-stars-color-fps50%2Fp&redirect=true";"95,12";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Isdin - Fotop Fusion Water 5 Stars FPS60 - 50ml";"Marca Isdin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=41501&ind=1&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-isdin-fotop-fusion-water-5-stars-fps60%2Fp&redirect=true";"99,00";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial com Cor La Roche Posay – XL Protect FPS 60 - Clara";"Marca La Roche-Posay";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=42232&ind=2&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-com-cor-la-roche-posay-xl-protect-fps-60%2Fp&redirect=true";"71,50";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Bioré Perfect Milk 50 FPS - 40ml";"Marca Bioré";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=39331&ind=3&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-biore-perfect-milk-50-fps%2Fp&redirect=true";"55,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Neutrogena Sun Fresh FPS 70 - 40ml";"Marca Neutrogena";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=46132&ind=4&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-neutrogena-sun-fresh-fps-70%2Fp&redirect=true";"51,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Dermage – Photoage Water FPS50 - 40g";"Marca Dermage";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=45628&ind=5&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-facial-dermage-photoage-water-fps50%2Fp&redirect=true";"69,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Neutrogena Sun Fresh Derm Care Facial FPS70 - 40g";"Marca Neutrogena";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=43330&ind=6&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-neutrogena-sun-fresh-derm-care-facial-fps70%2Fp&redirect=true";"49,90";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Com Cor Pink Stick FPS90 - 5km";"Marca Pink Cheeks";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=10387&ind=7&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fpink-stick-fps-60-pink-cheeks-protetor-solar-facial%2Fp&redirect=true";"107,91";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial ISDIN Foto Ultra Spot Prevent FPS 99 - 50ml";"Marca Isdin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=27823&ind=8&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Ffotoprotetor-facial-isdin-fotoultra-spot-prevent-fps-99-%2Fp&redirect=true";"146,90 em 2x de R$ 73,45";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
"Protetor Solar Facial Hidratante Garnier Skin - Uniform & Matte Vitamina C FPS 50 - Negra";"Marca Garnier Skin";"https://recs.algorecs.com/rrserver/api/find/v1/track/click/c85912f892c73e30?a=c85912f892c73e30&vg=abc1e575-06c4-4c91-ae9c-5a647eaa2e41&pti=2&pa=find&hpi=0&stn=PersonalizedProductSearchAndBrowse&stid=184&rti=2&sgs=&u=&mvtId=-1&mvtTs=1726487316001&uguid=abbde575-06c4-4c91-ae9c-5a647eaa2e41&channelId=WEB&s=6c72ea16-7524-4e59-884c-7e6baef1b385&pg=-1&page=1&query=protetor+solar+facial&lang=pt&searchConfigId=5b44b8a0947195000ef22caf&searchType=CATALOG&p=46230&ind=9&ct=https%3A%2F%2Fwww.epocacosmeticos.com.br%2Fprotetor-solar-hidratante-garnier-uniform-e-matte-vitamina-c%2Fp&redirect=true";"39,71";"SEM DETALHE";"SEM COMENTARIOS";0;"2024-09-16 08:48:45.202779";16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8
