prod-descr;prod-marca;prod-preco;data-ref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo-dia;origem
 Ada Tina  Normalize Solar Hydra Comfort FPS 90 - Protetor Facial 40ml ; Ada Tina ;151.9;23/08/2024 15:03;32.2;20;9;30.0;24;9;38.4;29;11;17.2;83;5;33.4;39;9;tarde;BNW
 Ada Tina  Normalize Solar Hydra Comfort FPS 90 - Protetor Facial 40ml ; Ada Tina ;151.9;23/08/2024 09:49;23.4;47;8;23.2;41;8;29.2;62;7;19.3;83;5;26.2;70;9;manha;BNW
 Ada Tina  Normalize Solar Matte Intense FPS 50 - Protetor Solar 40ml ; Ada Tina ;105.9;12/09/2024 09:54;25.1;39;8;23.2;47;8;27.3;79;9;20.0;94;7;27.1;62;9;manha;BNW
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Incolor - Protetor Solar Facial 40ml ; Adcos ;149.0;03/09/2024 14:05;30.1;35;9;31.0;16;9;33.0;47;11;23.2;65;7;24.4;74;8;tarde;BNW
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Incolor - Protetor Solar Facial 40ml ; Adcos ;149.0;02/09/2024 21:16;17.1;83;1;25.0;24;1;29.0;62;1;16.2;82;1;22.1;83;1;noite;BNW
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Incolor - Protetor Solar Facial 40ml ; Adcos ;149.0;02/09/2024 07:58;18.1;83;7;15.2;59;7;24.2;83;1;14.3;94;4;23.1;69;7;manha;BNW
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Peach - Protetor Solar Facial com Cor 50ml ; Adcos ;149.0;03/09/2024 14:05;30.1;35;9;31.0;16;9;33.0;47;11;23.2;65;7;24.4;74;8;tarde;BNW
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Peach - Protetor Solar Facial com Cor 50ml ; Adcos ;149.0;04/09/2024 08:05;18.2;88;8;14.4;59;8;25.3;89;7;16.4;88;6;21.4;88;7;manha;BNW
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Peach - Protetor Solar Facial com Cor 50ml ; Adcos ;149.0;02/09/2024 21:16;17.1;83;1;25.0;24;1;29.0;62;1;16.2;82;1;22.1;83;1;noite;BNW
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Tonalizante - Protetor Solar Facial com Cor 40ml ; Adcos ;149.0;08/09/2024 17:14;33.1;23;8;30.1;21;8;36.2;39;11;23.2;78;7;28.3;66;7;tarde;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Nude - Pó Compacto 11g ; Adcos ;249.0;23/08/2024 09:49;23.4;47;8;23.2;41;8;29.2;62;7;19.3;83;5;26.2;70;9;manha;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Nude - Pó Compacto 11g ; Adcos ;249.0;23/08/2024 15:03;32.2;20;9;30.0;24;9;38.4;29;11;17.2;83;5;33.4;39;9;tarde;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;26/08/2024 22:44;8.2;81;1;22.0;53;1;24.4;54;1;12.2;82;1;18.3;64;1;noite;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;02/09/2024 07:58;18.1;83;7;15.2;59;7;24.2;83;1;14.3;94;4;23.1;69;7;manha;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;28/08/2024 14:22;21.2;43;7;28.3;37;8;35.1;28;10;19.3;56;6;22.4;65;7;tarde;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;02/09/2024 21:16;17.1;83;1;25.0;24;1;29.0;62;1;16.2;82;1;22.1;83;1;noite;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;27/08/2024 07:28;5.0;81;5;17.0;68;7;20.0;64;1;8.3;93;5;17.1;63;6;manha;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;01/09/2024 21:10;27.1;26;1;26.1;28;1;30.4;46;1;18.3;77;1;24.1;83;1;noite;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;01/09/2024 15:04;31.3;21;9;30.3;21;8;37.1;35;11;23.2;69;7;29.2;52;8;tarde;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;29/08/2024 10:56;17.3;72;7;22.2;61;7;26.3;65;9;21.4;60;7;21.3;73;7;manha;BNW
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;248.9;27/08/2024 18:26;12.1;71;1;28.3;35;7;32.4;34;10;15.0;72;1;19.0;64;1;noite;BNW
 Adcos  Fotoproteção Diária Stick FPS80 Ivory - Protetor Solar Facial com Cor 12g ; Adcos ;168.82;16/09/2024 20:48;15.4;88;1;29.2;29;1;31.3;59;1;17.4;83;1;23.1;73;1;noite;BNW
