prod-descr;prod-marca;prod-detalhe;prod-fps;toque seco;todos os tipos de pele;resistente à água;rápida absorção;textura leve;ação antioxidante;controle de oleosidade;possui textura;radicais livres;ácido hialurônico;efeito matte;oil free;oil control;pele oleosa;linhas de expressão;previne o envelhecimento;alta cobertura;previne rugas;uso diário;dermatologicamente testado;textura ultraleve;water gel
 Ada Tina  Normalize Solar Matte Intense FPS 50 - Protetor Solar 40ml ; Ada Tina ;Protetor solar para peles oleosas. Ada Tina Normalize Solar Matte Intense Protetor Solar controla a oleosidade, reduz o brilho e promove 12 horas de proteção. Com efeito matificante, ele deixa a pele com um toque extrasseco ao longo do dia. Protetor Solar Normalize Solar Matte Intense Ada Tina previne o fotoenvelhecimento e possui alta proteção UVA  e UVB. Também auxilia na prevenção de manchas e evita a acne solar. ;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Incolor - Protetor Solar Facial 40ml ; Adcos ;Protetor solar facial com cor. Adcos Aqua Fluid FPS50 além de proteger a pele, garante uma cobertura natural.O Protetor Solar Facial Adcos Aqua Fluid FPS50 é ideal para o uso diário, possui uma textura aquosa ultrafluida, que é absorvida rapidamente. Deixa a pele com uma aparência saudável e toque imperceptível.;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Peach - Protetor Solar Facial com Cor 50ml ; Adcos ;Protetor solar facial com cor para todos os tipos de pele, inclusive mistas e oleosas. Adcos Aqua Fluid FPS50 tem textura leve como a água, reduz poros e controla a oleosidade, sem ressecar.O Protetor Solar Facial com Cor Adcos Aqua Fluid FPS50 possui Ácido Hialurônico em sua composição, toque seco e imperceptível e é indicado para peles oleosas e mistas. Ele também regula a oleosidade, o brilho e hidrata a pele sem pesar.;50;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Tonalizante - Protetor Solar Facial com Cor 40ml ; Adcos ;Protetor solar facial com cor. Adcos Aqua Fluid FPS50 além de proteger a pele, garante uma cobertura natural.O Protetor Solar Facial Adcos Aqua Fluid FPS50 é ideal para o uso diário, possui uma textura aquosa ultrafluida, que é absorvida rapidamente. Deixa a pele com uma aparência saudável e toque imperceptível.;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
 Adcos  Fotoproteção Diária Stick FPS80 Ivory - Protetor Solar Facial com Cor 12g ; Adcos ;Protetor solar facial com cor em bastão. Adcos Stick FPS 80 oferece alta proteção contra a radiação, além de uniformizar, hidratar intensamente e ajudar a prevenir queimaduras solares. O Protetor Solar com Cor Adcos Stick FPS 80 é indicado para práticas esportivas ao ar livre e em ambiente fechado, pois tem alta proteção aos raios UVA, UVB, infravermelho e também da luz azul/luz visível. Além disso, restaura e protege a barreira cutânea, reduz 42% da formação de Melanina, possui ação clareadora de melasma e de cicatrizes de acne comprovada. Fora isso, não escorre e não arde os olhos.Este é um produto vegano, cruelty free, não comedogênico, hipoalergênico e livre de parabenos. ;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 Adcos  Fotoproteção Diária Stick FPS80 Nude - Protetor Solar Facial com Cor 12g ; Adcos ;Protetor solar facial com cor em bastão. Adcos Stick FPS 80 oferece alta proteção contra a radiação, além de uniformizar, hidratar intensamente e ajudar a prevenir queimaduras solares. O Protetor Solar com Cor Adcos Stick FPS 80 é indicado para práticas esportivas ao ar livre e em ambiente fechado, pois tem alta proteção aos raios UVA, UVB, infravermelho e também da luz azul/luz visível. Além disso, restaura e protege a barreira cutânea, reduz 42% da formação de Melanina, possui ação clareadora de melasma e de cicatrizes de acne comprovada. Fora isso, não escorre e não arde os olhos.Este é um produto vegano, cruelty free, não comedogênico, hipoalergênico e livre de parabenos. ;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 Adcos  Fotoproteção Diária Stick FPS80 Peach - Protetor Solar Facial com Cor 17g ; Adcos ;Protetor solar com cor. Adcos FPS80 Peach é ideal para todos os tipos de pele, e seu formato stick garante maior facilidade para obter uma aparência uniforme e saudável no dia a dia.O Protetor Solar com CorAdcos FPS80 Peach sua fórmula de alta cobertura e proteção, traz pigmentos que se adaptam à pele brasileira, com textura única, resistente à água e tem ácido hialurônico em sua composição. Além disso, promove hidratação profunda à pele e preenche rugas e linhas.;80;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
 Adcos  Fotoproteção Diária Ultra FPS 55 - Protetor Solar 120g ; Adcos ;Protetor solar para todos os tipos de pele. Adcos Fotoproteção Diária Ultra FPS 55 auxilia no combate aos radicais livres e ao fotoenvelhecimento. Oil-free e com ação antioxidante, Protetor Solar Adcos Fotoproteção Diária Ultra FPS 55 trata enquanto protege a pele. Também proporciona um efeito radiante e aparência saudável no rosto. ;55;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Nude - Pó Compacto 11g ; Adcos ;Protetor solar em pó compacto para peles normais, mistas e oleosas. Adcos Fotoproteção Diária com Ácido Hialurônico FPS50 proporciona hidratação, ação Redutor de Linhas e cobertura natural.Protetor Solar Pó Compacto Adcos Fotoproteção Diária com Ácido Hialurônico FPS50 é um filtro solar 100% físico, que tonaliza a pele, disfarça imperfeições e confere efeito matte. Protege dos raios UVA, UVB, infravermelho e luz visível, resistente à água, composto 100% de filtros minerais com 5 tonalidades diferentes e uma versão translúcida.Conta com textura seca, super leve e cobertura natural, que pode ser transformada em alta cobertura quando aplicada em camadas. Além disso, promove controle do brilho e da oleosidade.Disponível nas cores:- Translúcido: promove uma cobertura mais natural, suave e leve por possuir mínima quantidade de tonalizante. - Ivory: tonalidade bege muito claro, creme de baunilha.- Peach: tonalidade bege claro, pêssego.- Nude: tonalidade bege médio, amêndoa.- Beige: tonalidade bege escuro, caramelo.- Bronze: tonalidade marrom, canela.;50;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
 Adcos  Fotoproteção Diária com Ácido Hialurônico FPS50 Translúcido - Pó Compacto 11g ; Adcos ;Protetor solar em pó compacto para peles normais, mistas e oleosas. Adcos Fotoproteção Diária com Ácido Hialurônico FPS50 proporciona hidratação, ação Redutor de Linhas e cobertura natural.Protetor Solar Pó Compacto Adcos Fotoproteção Diária com Ácido Hialurônico FPS50 é um filtro solar 100% físico, que tonaliza a pele, disfarça imperfeições e confere efeito matte. Protege dos raios UVA, UVB, infravermelho e luz visível, resistente à água, composto 100% de filtros minerais com 5 tonalidades diferentes e uma versão translúcida.Conta com textura seca, super leve e cobertura natural, que pode ser transformada em alta cobertura quando aplicada em camadas. Além disso, promove controle do brilho e da oleosidade.Disponível nas cores:- Translúcido: promove uma cobertura mais natural, suave e leve por possuir mínima quantidade de tonalizante. - Ivory: tonalidade bege muito claro, creme de baunilha.- Peach: tonalidade bege claro, pêssego.- Nude: tonalidade bege médio, amêndoa.- Beige: tonalidade bege escuro, caramelo.- Bronze: tonalidade marrom, canela.;50;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
