prod-descr;prod-marca;prod-preco;data-ref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;per_manha;per_noite;per_tarde;data-ref-segundos;ano;mes;dia;soma;media;soma-p;media-p;soma-z;media-z;dia_da_semana;origem_AMAZON;origem_BNW;origem_EPOCA
 Ada Tina  Normalize Solar Hydra Comfort FPS 90 - Protetor Facial 40ml ; Ada Tina ;151.9;2024-08-23 09:49:00;0.3071131059448732;-0.4497465604399026;0.8898593992278623;-0.4853079124380153;0.23526077942737478;0.6727245435098583;-0.27133599678075987;0.3213324677352994;-0.07447448296388032;0.1673701928300692;0.42219502819956456;0.2786169554955971;0.5788166900403319;-0.15712254779831372;1.223829776587606;1;0;0;-1.49724677697733;2024;8;23;0.7566216700442968;0.7566216700442967;1.5096970135331018;1.5096970135331023;1.5683165528539131;1.5683165528539131;4;0.0;1.0;0.0
 Ada Tina  Normalize Solar Hydra Comfort FPS 90 - Protetor Facial 40ml ; Ada Tina ;151.9;2024-08-23 15:03:00;1.640274720092925;-1.5217701054483004;1.2006313182606978;0.985950182519075;-0.9864274172007857;0.991371907489235;1.9424720399303583;-1.6278806039463467;0.9606311019413297;-0.4286671469519907;0.42219502819956456;0.2786169554955971;2.497152421900751;-2.2921996979696204;1.223829776587606;0;0;1;-1.4731017758552976;2024;8;23;0.8238597869835164;0.8238597869835161;1.5161603227012272;1.516160322701228;1.5811625132669136;1.5811625132669136;4;0.0;1.0;0.0
 Ada Tina  Normalize Solar Matte Intense FPS 50 - Protetor Solar 40ml ; Ada Tina ;105.9;2024-09-12 09:54:00;0.5646556904962017;-0.7673831663683167;0.8898593992278623;-0.4853079124380153;0.6664448488255491;0.6727245435098583;-0.7285354826232731;1.3254725349652383;0.44307830948872473;0.36604930609075553;1.4093012342578584;1.0605157225886577;0.818608656522885;-0.7081101994554251;1.223829776587606;1;0;0;0.7177110488830208;2024;9;12;1.1730908459987182;1.173090845998718;0.6414866445760287;0.6414866445760288;0.7479853890284266;0.7479853890284266;3;0.0;1.0;0.0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Incolor - Protetor Solar Facial 40ml ; Adcos ;149.0;2024-09-02 07:58:00;-0.49581377530338455;0.9796181662379612;0.5790874801950269;-2.2161997888581215;1.5288129876218977;0.35407717953048173;-1.474492538471585;1.5617407860781651;-1.6271328603216955;-1.2517663304605486;1.4093012342578584;-0.11233242805093316;-0.24713341673290362;-0.22599600425545263;0.6043250242452255;1;0;0;-0.3984954361087811;2024;9;2;0.18609039810465763;0.1860903981046576;1.3975954666746102;1.3975954666746104;1.4025828297141754;1.4025828297141754;0;0.0;1.0;0.0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Incolor - Protetor Solar Facial 40ml ; Adcos ;149.0;2024-09-02 21:16:00;-0.647309413274754;0.9796181662379612;-1.2855440340019857;-0.0958572402434913;-0.9864274172007857;-1.5578070043457781;-0.3194622584483927;0.3213324677352994;-1.6271328603216955;-0.7124944516101143;0.3324581003760833;-1.2851805786905242;-0.5135689350468507;0.7382323861444924;-1.2541892327819162;0;1;0;-0.3371332994992841;2024;9;2;-1.2915836564968795;-1.2915836564968795;1.2555530553256873;1.2555530553256875;1.1202706045534307;1.1202706045534307;0;0.0;1.0;0.0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Incolor - Protetor Solar Facial 40ml ; Adcos ;149.0;2024-09-03 14:05:00;1.322133880353049;-0.9262014693325238;1.2006313182606978;1.202311667071588;-1.561339509731685;0.991371907489235;0.6430629749042674;-0.5646734739381761;0.9606311019413297;1.2742966809967509;-1.1930696726230978;1.0605157225886577;0.0992327570752269;0.118371278030242;0.9140774004164157;0;0;1;-0.2595463372950455;2024;9;3;0.9247891158972087;0.9247891158972086;1.4686033772546634;1.4686033772546636;1.543712518019922;1.543712518019922;1;0.0;1.0;0.0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Peach - Protetor Solar Facial com Cor 50ml ; Adcos ;149.0;2024-09-02 21:16:00;-0.647309413274754;0.9796181662379612;-1.2855440340019857;-0.0958572402434913;-0.9864274172007857;-1.5578070043457781;-0.3194622584483927;0.3213324677352994;-1.6271328603216955;-0.7124944516101143;0.3324581003760833;-1.2851805786905242;-0.5135689350468507;0.7382323861444924;-1.2541892327819162;0;1;0;-0.3371332994992841;2024;9;2;-1.2915836564968795;-1.2915836564968795;1.2555530553256873;1.2555530553256875;1.1202706045534307;1.1202706045534307;0;0.0;1.0;0.0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Peach - Protetor Solar Facial com Cor 50ml ; Adcos ;149.0;2024-09-03 14:05:00;1.322133880353049;-0.9262014693325238;1.2006313182606978;1.202311667071588;-1.561339509731685;0.991371907489235;0.6430629749042674;-0.5646734739381761;0.9606311019413297;1.2742966809967509;-1.1930696726230978;1.0605157225886577;0.0992327570752269;0.118371278030242;0.9140774004164157;0;0;1;-0.2595463372950455;2024;9;3;0.9247891158972087;0.9247891158972086;1.4686033772546634;1.4686033772546636;1.543712518019922;1.543712518019922;1;0.0;1.0;0.0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Peach - Protetor Solar Facial com Cor 50ml ; Adcos ;149.0;2024-09-04 08:05:00;-0.48066421150624794;1.17814104494322;0.8898593992278623;-2.3892889765001315;1.5288129876218977;0.6727245435098583;-1.2097980992996031;1.9161431627475554;-0.07447448296388032;-0.6557289906784898;0.8708796673169708;0.6695663390421275;-0.7000737978666145;1.082599668430187;0.6043250242452255;1;0;0;-0.1764998366205383;2024;9;4;0.6719021249047737;0.6719021249047736;1.444294445330549;1.4442944453305495;1.4953980139390264;1.4953980139390264;2;0.0;1.0;0.0
 Adcos  Fotoproteção Diária Aqua Fluid FPS50 Tonalizante - Protetor Solar Facial com Cor 40ml ; Adcos ;149.0;2024-09-08 17:14:00;1.7766207942671572;-1.402656378225145;0.8898593992278623;1.0075863309743265;-1.202019451899873;0.6727245435098583;1.4130831615863964;-1.0372099761640299;0.9606311019413297;1.2742966809967509;-0.02648961091784168;1.0605157225886577;1.1383312784996213;-0.43261637362686944;0.6043250242452255;0;0;1;0.3086301381530411;2024;9;8;1.1010542351095456;1.1010542351095456;1.4855469802716206;1.485546980271621;1.5773882788334102;1.5773882788334102;6;0.0;1.0;0.0
