prod_descricao;prod_marca;prod_avaliacao;prod_comentario
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;4.7;Meire Barbosa Excelente produto      uso outros produtos marca maravilhosos, outros deixa desejar. cor escolhi usando amostras dermatologista deu, assim pude escolher adaptou. relação creme mesmo, ótima textura, absorve bem pele, fica pregando, pele fica sequinha uniformizada. Recomendo... 2 pessoas acharam útil 
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;4.7;Quezia Maria Silva Meio termo      bom mas, pele oleosa deixa desejar, fica bem sai rápido suor. 
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;4.7;Ciro rápida entrega surpreendeu      Ótima entrega, produto qualidade. Recomendo 
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;4.7;Gabriela Perfeito      Melhor protetor cor, espalha bem, deixa cara melecada precisa misturar protetor cor pra evitar diferença coloração típica demais marcas protetor cor. Uso pele clara amigas usam pele morena tbm fica ótimo, uniformiza pele parecer vc protetor. Substitui base. 
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;4.7;produto chegou dentro prazo esperado perfeitas condições. fácil manuseio menu dá possibilidade mudar idioma português. Ainda testei tirar fotos sob água. .      Produto bom deixa pele oleosa rapidamente absorvido. 1 pessoa achou útil 
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;4.7;Isabele Mattos Excelente compra!      pedido chegou certinho. produto bom. pele morena clara, alguns chamam parda. Serviu bem. pele fica linda produto. protetor solar cor, cobre base, cobertura ainda assim boa. Leve, parece usando. Comprei novamente tão bom! ?? 3 pessoas acharam útil 
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;4.7;Luciana sodre Bom produto!      Gostei muito, deixa pele oleosa. Recomendo 1 pessoa achou útil 
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;4.7;thuani.cout bom      terceira vez compro agr peguei jeito! Pra mim funciona melhor passo camada cor, camada seca, selo pó solto. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Pra peles oleosas simplesmente perfeito, durabilidade excelente ?? 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Gosto porque alta proteção tbem pele fica seca ótima cobertura 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  bom! 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  protetor bom. indicado dermatologista tratamento acne. mim, pele fica sequinha, fica bem confortável. único ponto negativo fica esbranquiçado pele permanece assim durante dia todo. morena, então, fica evidente. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Produto bom porém difícil espalhar. Precisa esforçar p espalhar. fica sequinho. ótimo. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  produto excelente, antioleosidade, protege, sai facilidade deixa aspecto bom pele. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Chegou prazo certo, veio embalado, espalha fácil, pegajoso, quase cheio, cheiro q lembra protetor praia, quase nada cheiro. pele fica macia passa. agora gostei. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  durável eficiente. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Amo protetor. Perfeiro pra pele oleosa, único ponto melhorar leve esfarela. ideal espalhar enquanto produto bem umido pele, seçar esfregar esfarela. amo pra dia dia consugo usar make. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Produto qualidade. Chegou rápido 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  segunda bisnaga uso. bom reparar proteger melasma. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  venho usando ha bom tempo vivo sem. meleca pele, acne, protege bem. cor fraquinha, então serve pra usado base. seco, gosto porque fica sensação pele hidratada. 1 pessoa achou útil 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  pele oleosa, melhor protetor solar! usei vários melhores marcas, ótimo pele brasileira, principalmente cidades úmidas. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Protetor ótima qualidade, efeito fosco seco, fica escorrendo cara sua. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Espalha bem deixa pele pegajosa. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  deixa cheiro, cor protege. 
Actine Protetor Solar, Darrow;Pierre Fabre;4.6;FPS 60  Amo demais protetor, acho perfeito pra peles oleosas. Pra mim funciona demais bem levinho, comprei pra filha tá gostando tbm 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Maisa Ótimo produto      Adorei, bem hidratante, diminui oleosidade pele, usando uns 3 meses, ótimo, protege bem sol, tão bom comprei pra toda família adquiri meu, usando L'Oréal antiolesidade, fiquei medo tão bom, quanto, bom mesmo, vale pena, principalmente valor, pq dois kit, vale preço pequeno rosto L'Oréal. pele sensivel, deu alergia, contrário, melhorou sensibilidade. Amei 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Diogo Tolentino Costa Produto qualidade      Produto extrema qualidade, melhor comprei hoje. Seco passar, fácial absorção. Podem comprar medo. 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Leila Protetores solar Ana sol      Boa compra , valor bom 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Camila Araújo AMEI      Amei protetor. pele sensível n consigo usar mtos protetores, pq coça fica vermelho. ótimo, irrita pele, cheiro suave, toque seco, leve, preço bom. fo rosto argila, sequinho..maravilhoso. 1 pessoa achou útil 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Chegou súber rápido, gostando Airfryer, dúvida pode comprar pq vale pena. produto ótimo, chegou antes prazo.      Recomendo, produto leve suave, deixa pele radiante. 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Kauê Calixta Custo benefício      segunda vez comprando, protetores bons. Pode usar corporal rosto, nenhum problema pra mim, apenas evite região olhos pois suar vai arder. fica esbranquiçado, espalhar bem some poucos minutos depois, sinto produto adere bem pele dura bastante, porém sempre bom reaplicar durante passar dia. 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Eduarda Helena Rodrigues Boa qualidade      Gostei kit, textura produto. sensação hidratação pesa rosto. 1 pessoa achou útil 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;DÉBORA fluído      produto sí ruim. início estranhei porque praticamente líquido. cheiro ruim, espalha bem rápido fluído. efeito seco deixou pele oleosa. irrita olhos. prós contras compraria novamente. 1 pessoa achou útil 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Iraci D. vivo      Amoooo produto perdi contas quantas vezes recomprei, gosto rendimento custo benefício. pele mista, sensível acneica nunca problema fórmula. Onde moro bem quente vezes fica meio oleoso, nada pó solto resolva. Uso corpo rosto rosto acaba nunca problema, também. fragrância incomoda. Recomendo. 1 pessoa achou útil 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Victoria Amanajas Ótima qualidade      Ótimo custo benefício, fica sequinho, nada aspecto pegajoso (usei bastante antes considerações). 5 pessoas acharam útil 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;André Dotta Ótimos Protetores      pouco cheiro protetor, deixa pele sequinha além barato dado custo benefício. 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Ítalo Cézar Protetor bom      Uso protetor solar dois anos. caso, costumo usar maior (de 200ml) acompanha kit protetor solar facial, porque apesar corpo (segundo embalagem) serve bem rosto. Nunca problemas. Além disso, deixa pele oleosa suja poros. protetor menor, sim facial, bom. preço, então, excelente comparação outros produtos. 2 pessoas acharam útil 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Agnès Perfeitos.      Bons produtos baratos, rende bastante. 
Anasol Conjunto Fps 50 Facial 60G + Fps 50 Corpo 200G;Anasol;4.8;Victoria Amanajas Ótima qualidade      Ótimo custo benefício, fica sequinho, nada aspecto pegajoso (usei bastante antes considerações). 4 pessoas acharam útil 
Australian Gold Protetor Solar Facial Gel Creme Fps 50 50Gr, Australian Gold;Australian Gold;4.7;Luma Bom!      Bom produto, deixa pele oleosa. 
Australian Gold Protetor Solar Facial Gel Creme Fps 50 50Gr, Australian Gold;Australian Gold;4.7;bom. Protetor facial      
Australian Gold Protetor Solar Facial Gel Creme Fps 50 50Gr, Australian Gold;Australian Gold;4.7;Veridiana Moura Otimo      Ja segundo compro. Otimo custo beneficio 
Australian Gold Protetor Solar Facial Gel Creme Fps 50 50Gr, Australian Gold;Australian Gold;4.7;Excelente produto, textura seca. 10      Produto excelente, uso uns três anos, textura mate, seca bem rápido passar rosto. 
Australian Gold Protetor Solar Facial Gel Creme Fps 50 50Gr, Australian Gold;Australian Gold;4.7;Veridiana Moura Otimo      Achei bom, oleoso, facil espalhar cheiro suave. Ótimo custo beneficio 
