prod_descricao;prod_marca;prod_price;prod_dataref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
6 unid. Protetor Solar Facial Profissional FPS 30 1/3 Uva 120 ml-Nutriex;B07J58G1W8;186.3;2024-08-29 18:49;24.4;44;1;26.2;39;1;34.1;41;9;20.3;73;1;23.0;69;1;noite
6 unid. Protetor Solar Facial Profissional FPS 30 1/3 Uva 120 ml-Nutriex;B07J58G1W8;186.3;2024-09-02 20:42;17.1;83;1;25.0;24;1;29.0;62;1;16.2;82;1;22.1;83;1;noite
6 unid. Protetor Solar Facial Profissional FPS 30 1/3 Uva 120 ml-Nutriex;B07J58G1W8;186.3;2024-09-01 21:24;21.3;43;1;26.1;28;1;30.4;46;1;18.3;77;1;24.1;83;1;noite
Actine Colors Fps 70 Pele Morena, Darrow, 40G;Pierre Fabre;83.99;2024-08-30 18:45;26.3;18;1;27.3;32;7;34.4;41;9;18.4;77;1;23.4;65;1;noite
Actine Protetor Solar, Darrow;Pierre Fabre;62.99;2024-09-15 17:29;18.2;88;5;31.2;15;8;33.3;53;11;16.2;94;4;24.1;83;7;tarde
Actine Protetor Solar, Darrow;Pierre Fabre;62.99;2024-09-16 08:53;16.2;94;5;20.3;49;8;25.2;79;8;16.3;94;4;24.2;83;8;manha
Actine Protetor Solar, Darrow;Pierre Fabre;64.9;2024-09-11 14:14;32.1;21;9;29.2;29;8;35.2;47;11;28.0;62;8;31.0;55;9;tarde
Actine Protetor Solar, Darrow;Pierre Fabre;62.04;2024-09-10 09:12;23.1;44;8;23.2;44;8;27.0;84;8;22.3;83;7;24.3;74;8;manha
Actine Protetor Solar, Darrow;Pierre Fabre;49.99;2024-09-20 18:08;29.2;37;6;29.2;31;8;37.1;29;11;19.2;94;5;27.1;70;1;noite
Actine Protetor Solar, Darrow;Pierre Fabre;64.3;2024-09-01 21:24;21.3;43;1;26.1;28;1;30.4;46;1;18.3;77;1;24.1;83;1;noite
