prod_descricao;prod_marca;prod_detalhe;prod_fps
Blemish+ Age Defense SkinCeuticals - Tratamento Antiacne - 15ml; Skinceuticals;Na compra desse produto, a cada um R$ 1,00 gasto você ganha 10 pontos. Não é cadastrado? Cadastre-se Não acumulativo com outras promoções e cupons de desconto (verifique a finalização da compra);0
Creme para mãos Eucerin Anti-Pigment FPS30 - 75ml; Eucerin;O Anti-Pigment Mãos FPS30 tem na sua composição o ativo revolucionário e patenteado, o Thiamidol. Sua fórmula foi clínicamente e dermatologicamente comprovada para reduzir a hiperpigmentação e prevenir o seu reaparecimento, com o uso regular do produto.  O Anti-Pigment Mãos FPS 30, também reduz significativamente os sinais do envelhecimento e melhora a elasticidade e firmeza da pele. Sua textura creme, além de absorver rapidamente, hidrata por 24 horas. O FPS 30 previne manchas induzidas pelo sol.   Modo de Aplicação: Aplique diariamente sobre as mãos limpas e massageie bem por alguns instantes. Faça no máximo quatro aplicações de produtos com Thiamidol por dia. Uso externo. Não armazenar acima de 25ºC. Este produto não é um protetor solar. Indicado para todos os tipos de pele, para peles com marcas de envelhecimento e hiperpigmentação na região das mãos.   Reduz visivelmente marcas de envelhecimento e a hiperpigmentação das mãos com o uso regular.   Modo de uso: Aplique diariamente sobre as mãos limpas e massageie bem.;30
Creme para mãos Eucerin Anti-Pigment FPS30 - 75ml; Eucerin;brinde prada amostra prada paradoxe (Imagem ilustrativa);30
Episol Color Mantecorp Skincare - Protetor Solar com Cor FPS70 - 4; Mantecorp Skincare;O que é e para que serve? O Episol Color Mantecorp Skincare Protetor Solar com Cor FPS70 conta com a tecnologia Soft Focus, um sistema inovador de dispersão dos pigmentos minerais, que suaviza as imperfeições e disfarça rugas finas, linhas de expressão e imperfeições da pele sem obstruir os poros.  Protege a pele imediatamente após sua aplicação. O uso regular auxilia na prevenção do câncer de pele e de outros efeitos danosos causados pelo sol, como o envelhecimento precoce. Ajuda a prevenir queimaduras solares.  Benefícios do Produto: - Alta e muito proteção UVA, UVB, luz visível e Infravermelho A - Promove perfeita cobertura e uniformidade da pele com efeito natural, desenvolvido para peles brasileiras. - Efeito Soft Focus, inovador sistema de dispersão dos pigmentos, que disfarça rugas e linhas de expressão. - Impede a formação de aglomerados.  - Textura foundant com efeito base.  - Efeito matificante, toque seco e sensação de pele limpa.  - Fórmula sem cheiro de protetor solar.  - Hipoalergênico e não comedogênico.  - Proteção imediata.  - Uso diário.   Modo de Usar:  O Novo Protetor Solar Facial Fps 70 deve ser aplicado em abundância e uniformemente sobre a pele seca antes da exposição ao sol, ou sempre que necessário, se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido.  Recomenda-se a reaplicação do produto após transpiração excessiva, exercício físico, mergulho, exposição prolongada ao sol ou após secar-se com toalha, a fim de assegurar sua eficácia.;70
Esfoliante Facial Neutrogena - Purified Skin - 100g; Neutrogena;"O Esfoliante Neutrogena Purified Skin oferece uma limpeza purificante e profunda que elimina as impurezas e toxinas da pele, desobstrui os poros e reduz a oleosidade da pele, sem deixar a sensação de ressecamento. O esfoliante proporciona uma sensação de pele radiante e suave. Sua fórmula contém a tecnologia BarriercarE que preserva a barreira natural da pele e Ácido Glicólico que promove a renovação celular.    O uso do esfoliante Neutrogena Purified Skin permite a desobstrução dos poros, Eliminação das impurezas e toxinas e redução da oleosidade da pele.  Indicado: Ideal para peles mistas e oleosas. Uso recomendado de 2 a 3 vezes por semana. Dermatologicamente testado.    Benefícios: . Desobstrui os poros; . Limpa profundamente; . Reduz a oleosidade; . Sensação de redução de oleosidade ao lonho do dia; . Purifica a pele; . Não resseca e nem agride a pele; . Dermatologicamente testado.  Resultados:  Poros desobstruídos, pele limpa, purificada e fresca e oleosidade controlada.   Modo de Usar:  Molhe o rosto e aplique o produto massageando suavemente. Enxague por completo. Precauções: Uso externo. Não usar em crianças. Evite contato com os olhos. Não aplicar nas pálpebras e ao redor dos olhos. Não insistir no uso contínuo, caso ocorra algum efeito indesejável. Durante a primeira semana de uso, aplicar pequenas quantidades de produto, em dias alternados.   Uma leve sensação de ardor, pinicação ou ressecamento da pele poderá ser observada durante as primeiras aplicações. Manter fora do alcance de crianças. Não ingerir. Em caso de contato acidental com os olhos, enxaguar abundantemente. Havendo irritação, suspenda o uso e procure por orientação médica. Conservar em local fresco e ao abrigo da luz solar direta.";0
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;SEM DETALHE;60
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;"A luz visível é a principal causadora dos danos na pele ocasionados pelo sol, mas as Luzes Visíveis de Alta Energia (HEVIS) também podem induzir os radicais livres que causam mais danos à pele. A luz solar desencadeia um aumento na produção de melanina, o que pode levar a problemas de hiperpigmentação, como manchas solares.  Eucerin Sun Fluido Anti-pigment FPS 60 é um protetor solar facial diário para todos os tipos de pele que ajuda a prevenir a hiperpigmentação causada pela exposição solar. EUCERIN desenvolveu uma proteção solar inovadora com ADVANCED SPECTRAL TECHONOLOGY, sistema de filtros UVA/UVB fotoestáveis (1) e proteção biológica das células - o antioxidante Licochalcona A protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição às luzes UV e HEVIS. Enquanto o Ácido Glicirretínico ajuda na renovação dos mecanismos de defesa naturais do DNA celular.   A fórmula é ainda enriquecida com Thiamidol, um ativo eficaz e patenteado que atua na causa raiz da hiperpigmentação. Ele reduz visivelmente áreas hiperpigmentadas com o tempo e, quando usado regularmente, impede seu reaparecimento.  Eucerin Sun Fluido Anti-Pigment FPS 60 tem uma textura leve que seca rapidamente e é clinico e dermatologicamente testado, comprovando sua eficácia até para peles sensíveis. ""  ATENÇÃO:  IMPORTANTE: Por se tratar de um produto importado, a embalagem interna pode apresentar um FPS diferente da externa. Você encontra no produto a indicação ""FPS 50+"", ou seja, que a proteção dele é acima do fator 50. Como no Brasil, a legislação exige que indiquemos a proteção exata do protetor solar na embalagem externa, você encontra o FPS 60 na caixa. O produto passou por todos os testes que comprovam a proteção correspondente ao FPS 60 e foi devidamente regulamentado pelo órgão competente.";60
Gel Creme Facial Antissinais Neutrogena - Bright Boost - 50g; Neutrogena;O que é e para que serve?  Um Antissinais Facial com Neoglucosamina + trio de ácidos renovadores que acelera a renovação celular em até 10 vezes, reduzindo visivelmente linhas finas enquanto fortalece a barreira cutânea, uniformiza o tom e a textura da pele, com resultados em 1 semana.  Benefícios e diferenciais:  -Acelera a renovação celular em até 10 vezes -Reduz visivelmente linhas de expressão -Uniformiza tom e textura da pele -Reduz e equilibra a produção de oleosidade da pele -Textura gel creme: oil free com toque seco e efeito radiante  -Não comedogênico, sem álcool e sem parabenos  -Indicado para todos os tipos de pele  Como usar:  Com a pele limpa, aplique o produto sobre o rosto e pescoço e espalhe suavemente até a absorção completa. Pode ser usado diariamente, pela manhã e/ou à noite. Para uma rotina de skincare completa, combine com o Gel Creme Facial Antissinais NeutrogenaBright Boost FPS30.  Precauções:  Somente para uso externo. Não ingerir. Evite contato direto com os olhos. Em caso de contato acidental com os olhos, enxaguar abundantemente. Havendo irritação, suspenda o uso e procure por orientação médica. Manter fora do alcance de crianças. Não aplicar nas pálpebras, nos cantos externos do nariz e da boca e na pele irritada ou lesionada. Evitar exposição solar durante o uso do produto. Durante a primeira semana de uso, aplicar pequenas quantidades de produto, em dias alternados. Nas primeiras aplicações poderão ser observadas sensações transitórias de ardor, pinicação ou ressecamento da pele. Persistindo o incômodo, suspenda o uso do produto e procure orientação médica. Uso Adulto.;0
Gel Creme Hidratante para a área dos Olhos Hydro Boost Neutrogena - 15g; Neutrogena;O que é e para que serve? Um Creme Hidratante para a Área dos Olhos com Ácido Hialurônico e altas concentrações de Glicerina, restabelece os níveis saudáveis de água da pele ao longo do dia e revitaliza a área dos olhos. Com textura water gel, não deixa a oleosa.  Benefícios e diferenciais: -Com Ácido Hialurônico: pele mais hidratada -Restabelece os níveis saudáveis de água da pele ao longo do dia -Revitaliza a área dos olhos -Textura leve e de rápida absorção: não deixa a oleosa -Sem fragrância e sem corantes -Oftalmologicamente testado  -Ácido Hialurônico: Protege a barreira cutânea contra a perda de água, mantendo uma hidratação intensa e prolongada.  Como usar: Com a pele limpa, aplique o produto no contorno dos olhos com movimentos suaves.  Precauções: Somente para uso externo.  Não ingerir.  Evite contato direto com os olhos.  Caso isso aconteça enxaguar abundantemente.  Se ocorrer irritação ou desconforto, descontinue o uso e consulte um médico.  Conservar fora do alcance das crianças, em local fresco e seco.  Produto para a região dos olhos.  USO ADULTO.;0
Gel Esfoliante Facial Neutrogena Acne Proofing - 100g; Neutrogena;O que é e para que serve?  Um Gel Esfoliante que limpa, reduz e trata a acne profundamente ao mesmo tempo que não agride a barreira natural da pele, estimulando a construção de um escudo natural que previne novas crises de acne.   Com microesferas esfoliantes e ácido salicílico, remove o excesso de sebo e desobstrui os poros.   Benefícios e diferenciais:  -Limpa, reduz e trata a acne profundamente  -Não agride a barreira natural da pele  -Estimula a construção de um escudo natural que previne novas crises de acne  -Remove o excesso de sebo e desobstrui os poros   Como Usar:  Aplique o produto sobre o rosto úmido, massageando suavemente. Enxágue com água em abundância.   Precauções:  Uso externo. Não usar em crianças. Evite contato com os olhos. Caso isso aconteça, enxágue-os com água em abundância. O uso deste produto combinado com medicamentos tópicos contra a acne pode aumentar o ressecamento da pele. Se isso ocorrer, procure orientação médica.  Sobre a Marca: Neutrogena é uma empresa fundada em 1930 por Emanuel Stolarof, especializada em produtos dermatológicos para cuidados com a pele que, desde 1996, passou a ser comercializada no Brasil através da Johnson & Johnson Brasil.  Seus dermocosméticos atendem a diversos públicos, tratando intensamente desde a hidratação da pele até os cuidados com o sol.;0
