prod_descricao;prod_marca;prod_price;prod_dataref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
Blemish+ Age Defense SkinCeuticals - Tratamento Antiacne - 15ml; Skinceuticals;215.1;13/09/2024 11:13;29.1;29;9;28.1;37;8;33.0;53;10;22.4;78;8;34.3;32;9;manha
Creme para mãos Eucerin Anti-Pigment FPS30 - 75ml; Eucerin;134.59;06/09/2024 08:33;18.3;77;5;28.1;28;8;28.0;62;9;16.4;68;6;23.4;89;6;manha
Creme para mãos Eucerin Anti-Pigment FPS30 - 75ml; Eucerin;134.59;09/09/2024 11:34;33.2;23;9;29.3;19;8;35.3;44;11;21.1;83;7;28.3;66;8;manha
Episol Color Mantecorp Skincare - Protetor Solar com Cor FPS70 - 4; Mantecorp Skincare;74.9;10/09/2024 09:01;23.1;44;8;23.2;44;8;27.0;84;8;22.3;83;7;24.3;74;8;manha
Esfoliante Facial Neutrogena - Purified Skin - 100g; Neutrogena;52.93;23/08/2024 21:36;17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27.0;54;1;noite
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;89.9;15/09/2024 17:25;18.2;88;5;31.2;15;8;33.3;53;11;16.2;94;4;24.1;83;7;tarde
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;93.42;29/08/2024 18:35;24.4;44;1;26.2;39;1;34.1;41;9;20.3;73;1;23.0;69;1;noite
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;93.42;28/08/2024 12:18;21.2;43;7;28.3;37;8;35.1;28;10;19.3;56;6;22.4;65;7;tarde
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;93.42;26/08/2024 22:46;11.2;71;5;22.0;57;7;22.2;57;7;13.4;77;6;19.4;60;6;noite
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;93.42;25/08/2024 19:42;10.3;82;1;26.0;42;1;29.0;45;8;11.1;76;1;19.0;83;1;noite
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml - 50ml; Eucerin;89.9;18/09/2024 19:53;17.4;88;1;28.1;40;1;32.3;56;1;20.2;78;1;23.3;61;1;noite
